Date,Replication,Inoculation Time,Coiled Stems(out of 5),Start Time of Coiling(Hrs)1,Start Time of Coiling(Hrs)2,Start Time of Coiling(Hrs)3,Start Time of Coiling(Hrs)4,Start Time of Coiling(Hrs)5,Average  Time to Initiate Coiling(Hrs),Inoculation Time(Hrs)1,Inoculation Time(Hrs)2,Inoculation Time(Hrs)3,Inoculation Time(Hrs)4,Inoculation Time(Hrs)5,Average Inoculation Time(Hrs)
6/8/2022,9am Rep 1,9:10am,5,3,3,3,4,3,3.2,8,17,16,13,9,12.6
6/13/2022,9am Rep 2,9:48am,5,3,5,3,3,2,3.2,11,15,13,15,22,15.2
6/29/2022,9am Rep 3,9:40am,5,4,4,3,4,4,3.8,15,15,9,11,16,13.2
7/20/2022,9am Rep 4,9:41am,5,3,4,4,5,4,4,11,12,15,16,10,12.8
8/1/2022,9am Rep 5,9:27am,5,5,4,4,5,5,4.6,15,20,9,14,18,15.2
8/11/2022,9am Rep 6,9:31am,5,4,3,4,3,4,3.6,18,12,15,16,13,14.8
8/15/2022,9am Rep 7,9:38pm,5,4,3,5,4,3,3.8,21,15,17,18,15,17.2
6/14/2022,12pm Rep 1,12:19pm,4,1,4,3,3,5,3.2,15,19,14,20,N/A,17
6/22/2022,12pm Rep 2,12:50pm,4,6,3,4,4,4,4.2,N/A,14,18,17,18,16.75
7/11/2022,12pm Rep 3,12:27pm,3,3,2,4,N/A,4,3.25,17,18,16,N/A,N/A,17
7/13/2022,12pm Rep 4,12:51pm,4,5,N/A,3,4,4,4,17,N/A,15,15,16,15.75
7/18/2022,12pm Rep 5,12:51pm,5,6,7,5,6,4,5.6,13,23,11,14,13,14.8
7/28/2022,12pm Rep 6,12:34pm,4,19,5,6,9,8,9.4,N/A,18,16,18,20,18
8/4/2022,12pm Rep 7,12:32pm,5,5,5,4,3,16,6.6,14,18,12,15,24,16.6
6/9/2022,4pm Rep 1,4:24pm,4,7,7,8,9,N/A,7.75,15,17,14,14,N/A,15
6/28/2022,4pm Rep 2,4:56pm,4,10,13,12,9,10,10.8,19,21,N/A,17,17,18.5
7/6/2022,4pm Rep 3,4:35pm,5,8,9,12,13,11,10.6,20,16,20,19,18,18.6
7/21/2022,4pm Rep 4,4:28pm,4,11,4,13,15,N/A,10.75,20,14,18,21,N/A,18.25
8/2/2022,4pm Rep 5,4:28pm,3,8,6,3,N/A,N/A,5.66666666666667,18,12,15,N/A,N/A,15
8/9/2022,4pm Rep 6,4:38pm,4,N/A,9,9,5,19,10.5,N/A,16,18,14,24,18
8/17/2022,4pm Rep 7,4:21pm,5,10,6,9,10,5,8,23,18,24,22,18,21
