numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
1,617,1307,2081,2945,3787,903,992,995,1194,1395,224.909,228.658,190.235,183.072,189.759,-0.0176608,-0.0218668,0.00174804,0.0148643,0.00903573
2,597,1291,2069,2931,3769,893,980,983,1181,1412,227.745,200.906,186.711,181.974,192.363,-0.0171713,0.00546613,0.00416713,0.0150378,0.00879126
3,573,1296,2061,2927,3762,903,991,993,1221,1447,236.14,188.049,187.639,183.79,190.927,-0.00719446,0.00831272,0.00385197,0.0118877,0.0110831
4,583,1296,2064,2930,3766,890,978,979,1174,1402,232.565,181.112,185.558,180.871,187.369,-0.0117687,0.0156365,0.00363199,0.0124642,0.0101939
5,604,1297,2065,2925,3761,891,976,979,1176,1428,218.414,201.373,184.803,182.785,189.889,-0.0172115,-0.0034648,0.00380906,0.0140731,0.00963509
6,597,1294,2059,2930,3765,889,976,978,1174,1383,220.317,177.859,187.417,180.568,189.019,-0.0175485,0.0188717,0.00451325,0.0110417,0.00996619
7,605,1295,2061,2922,3766,890,979,979,1214,1373,215.915,175.617,186.689,185.532,187.432,-0.0194693,0.0207088,0.00363981,0.0130854,0.0104497
8,607,1299,2059,2923,3759,892,978,979,1175,1411,218.479,192.517,189.344,182.264,190.204,-0.0175176,0.00380741,0.00474366,0.0144525,0.00944372
9,600,1297,2063,2927,3766,891,978,979,1176,1413,220.73,171.206,185.472,180.596,185.85,-0.0168194,0.0247609,0.00466145,0.0117928,0.00994561
10,604,1296,2063,2926,3762,892,979,980,1176,1374,217.392,200.033,185.135,181.359,189.149,-0.018142,-0.00370435,0.00411593,0.0117315,0.0100983
11,601,1296,2060,2927,3758,892,978,981,1175,1435,219.196,172.859,187.547,178.128,190.803,-0.0172722,0.0233838,0.00425168,0.0144781,0.0118722
12,598,1297,2063,2929,3761,891,977,978,1174,1433,221.709,193.779,185.529,178.686,189.625,-0.0165896,0.00177993,0.00361862,0.0114965,0.0105393
13,607,1296,2062,2925,3759,892,977,980,1174,1434,214.676,185.453,186.296,181.338,190.421,-0.0193777,0.0104961,0.00298551,0.0124221,0.0106761
14,606,1295,2063,2915,3763,891,980,980,1234,1398,215.565,187.506,184.941,187.184,187.914,-0.019606,0.00893261,0.00388056,0.013845,0.0094716
15,602,1299,2067,2915,3760,891,978,978,1242,1402,220.116,192.725,183.579,187.524,188.789,-0.0167661,0.00285377,0.00216905,0.0139834,0.00986811
16,605,1298,2062,2923,3763,892,979,977,1174,1415,218.263,171.993,186.855,181.115,186.115,-0.0177358,0.0242094,0.00399196,0.0135204,0.0102005
